image_id,overlap_group,true_label,traditional_pred,deep_pred,deep_confidence,origin_export,enhanced_export,visual_error_note
ISIC_0030107,both_wrong,mel,nv,nv,0.99972177,failure_analysis_outputs\images\both_wrong\01_ISIC_0030107_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\01_ISIC_0030107_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0028611,both_wrong,bkl,nv,akiec,0.99960274,failure_analysis_outputs\images\both_wrong\02_ISIC_0028611_bkl_trad-nv_deep-akiec_origin.jpg,failure_analysis_outputs\images\both_wrong\02_ISIC_0028611_bkl_trad-nv_deep-akiec_enhanced.jpg,bkl 被判为 akiec，通常与红褐色、粗糙或角化样区域有关，两类都可能呈现表面角化/鳞屑样视觉线索。
ISIC_0029289,both_wrong,bkl,nv,nv,0.997402,failure_analysis_outputs\images\both_wrong\03_ISIC_0029289_bkl_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\03_ISIC_0029289_bkl_trad-nv_deep-nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
ISIC_0033444,both_wrong,mel,bkl,nv,0.9953502,failure_analysis_outputs\images\both_wrong\04_ISIC_0033444_mel_trad-bkl_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\04_ISIC_0033444_mel_trad-bkl_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0025264,both_wrong,akiec,mel,mel,0.9947074,failure_analysis_outputs\images\both_wrong\05_ISIC_0025264_akiec_trad-mel_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\05_ISIC_0025264_akiec_trad-mel_deep-mel_enhanced.jpg,akiec 被判为 mel，可能因为红褐色混合、局部不均匀和边界复杂，被模型解释为恶性黑色素瘤线索。
ISIC_0031191,both_wrong,akiec,nv,mel,0.98454946,failure_analysis_outputs\images\both_wrong\06_ISIC_0031191_akiec_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\06_ISIC_0031191_akiec_trad-nv_deep-mel_enhanced.jpg,akiec 被判为 mel，可能因为红褐色混合、局部不均匀和边界复杂，被模型解释为恶性黑色素瘤线索。
ISIC_0028173,both_wrong,mel,nv,nv,0.98274064,failure_analysis_outputs\images\both_wrong\07_ISIC_0028173_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\07_ISIC_0028173_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0025366,both_wrong,bkl,nv,nv,0.9761406,failure_analysis_outputs\images\both_wrong\08_ISIC_0025366_bkl_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\08_ISIC_0025366_bkl_trad-nv_deep-nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
ISIC_0028760,both_wrong,mel,nv,nv,0.9481964,failure_analysis_outputs\images\both_wrong\09_ISIC_0028760_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\09_ISIC_0028760_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0032675,both_wrong,bkl,nv,nv,0.9051301,failure_analysis_outputs\images\both_wrong\10_ISIC_0032675_bkl_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\10_ISIC_0032675_bkl_trad-nv_deep-nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
