image_id,overlap_group,true_label,traditional_pred,deep_pred,deep_confidence,origin_export,enhanced_export,visual_error_note
ISIC_0034205,traditional_correct_deep_wrong,mel,mel,nv,0.9959276,failure_analysis_outputs\images\traditional_correct_deep_wrong\01_ISIC_0034205_mel_trad-mel_deep-nv_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\01_ISIC_0034205_mel_trad-mel_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0029991,traditional_correct_deep_wrong,bkl,bkl,akiec,0.9907898,failure_analysis_outputs\images\traditional_correct_deep_wrong\02_ISIC_0029991_bkl_trad-bkl_deep-akiec_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\02_ISIC_0029991_bkl_trad-bkl_deep-akiec_enhanced.jpg,bkl 被判为 akiec，通常与红褐色、粗糙或角化样区域有关，两类都可能呈现表面角化/鳞屑样视觉线索。
ISIC_0033406,traditional_correct_deep_wrong,nv,nv,mel,0.9820188,failure_analysis_outputs\images\traditional_correct_deep_wrong\03_ISIC_0033406_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\03_ISIC_0033406_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0029534,traditional_correct_deep_wrong,nv,nv,vasc,0.97401386,failure_analysis_outputs\images\traditional_correct_deep_wrong\04_ISIC_0029534_nv_trad-nv_deep-vasc_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\04_ISIC_0029534_nv_trad-nv_deep-vasc_enhanced.jpg,nv 被判为 vasc，通常是局部蓝紫/红色或圆形高对比区域触发了血管性病变响应。
ISIC_0026608,traditional_correct_deep_wrong,nv,nv,mel,0.9654902,failure_analysis_outputs\images\traditional_correct_deep_wrong\05_ISIC_0026608_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\05_ISIC_0026608_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0031043,traditional_correct_deep_wrong,akiec,akiec,bcc,0.9576061,failure_analysis_outputs\images\traditional_correct_deep_wrong\06_ISIC_0031043_akiec_trad-akiec_deep-bcc_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\06_ISIC_0031043_akiec_trad-akiec_deep-bcc_enhanced.jpg,akiec 被判为 bcc，可能因为面部样本、粉红/红色区域或浅色病灶结构与基底细胞癌相似。
ISIC_0027066,traditional_correct_deep_wrong,nv,nv,mel,0.9419058,failure_analysis_outputs\images\traditional_correct_deep_wrong\07_ISIC_0027066_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\07_ISIC_0027066_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0025847,traditional_correct_deep_wrong,nv,nv,mel,0.8899367,failure_analysis_outputs\images\traditional_correct_deep_wrong\08_ISIC_0025847_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\08_ISIC_0025847_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0027991,traditional_correct_deep_wrong,bkl,bkl,mel,0.8814675,failure_analysis_outputs\images\traditional_correct_deep_wrong\09_ISIC_0027991_bkl_trad-bkl_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\09_ISIC_0027991_bkl_trad-bkl_deep-mel_enhanced.jpg,bkl 被判为 mel，说明病灶存在深浅不均、边界复杂或斑片状结构，触发了模型的恶性类别响应。
ISIC_0031377,traditional_correct_deep_wrong,mel,mel,nv,0.84951854,failure_analysis_outputs\images\traditional_correct_deep_wrong\10_ISIC_0031377_mel_trad-mel_deep-nv_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\10_ISIC_0031377_mel_trad-mel_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0026340,traditional_correct_deep_wrong,nv,nv,mel,0.8421172,failure_analysis_outputs\images\traditional_correct_deep_wrong\11_ISIC_0026340_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\11_ISIC_0026340_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0028706,traditional_correct_deep_wrong,nv,nv,vasc,0.8183812,failure_analysis_outputs\images\traditional_correct_deep_wrong\12_ISIC_0028706_nv_trad-nv_deep-vasc_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\12_ISIC_0028706_nv_trad-nv_deep-vasc_enhanced.jpg,nv 被判为 vasc，通常是局部蓝紫/红色或圆形高对比区域触发了血管性病变响应。
ISIC_0025681,traditional_correct_deep_wrong,nv,nv,mel,0.78426474,failure_analysis_outputs\images\traditional_correct_deep_wrong\13_ISIC_0025681_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\13_ISIC_0025681_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0033804,traditional_correct_deep_wrong,mel,mel,nv,0.77430344,failure_analysis_outputs\images\traditional_correct_deep_wrong\14_ISIC_0033804_mel_trad-mel_deep-nv_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\14_ISIC_0033804_mel_trad-mel_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0027911,traditional_correct_deep_wrong,nv,nv,bkl,0.7601223,failure_analysis_outputs\images\traditional_correct_deep_wrong\15_ISIC_0027911_nv_trad-nv_deep-bkl_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\15_ISIC_0027911_nv_trad-nv_deep-bkl_enhanced.jpg,普通痣被判为 bkl，通常是局部斑点/粗糙纹理强于整体痣结构，模型被局部纹理牵引。
ISIC_0031756,traditional_correct_deep_wrong,nv,nv,vasc,0.75118256,failure_analysis_outputs\images\traditional_correct_deep_wrong\16_ISIC_0031756_nv_trad-nv_deep-vasc_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\16_ISIC_0031756_nv_trad-nv_deep-vasc_enhanced.jpg,nv 被判为 vasc，通常是局部蓝紫/红色或圆形高对比区域触发了血管性病变响应。
ISIC_0031411,traditional_correct_deep_wrong,nv,nv,mel,0.7425966,failure_analysis_outputs\images\traditional_correct_deep_wrong\17_ISIC_0031411_nv_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\traditional_correct_deep_wrong\17_ISIC_0031411_nv_trad-nv_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
